Route,Line from,Line to,ID from,ID to,Distance,Polyline
3,9,9,15,16,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
4,9,9,1,2,2600,a~brAobndR?O}ABaCVyDh@sA\yA|@uFlEoAx@m@x@k@t@eCfD{BtCaClCoDtCqDpCsA`@kEdA}GtAoGxAcCz@qDx@}AVwFtAwDlAgLlD
4,9,9,2,3,150,ivfrAybldRqFhB
4,9,9,3,4,600,{}frAo_ldR}E`BaEv@yElAoCv@}B`@kAN
4,9,9,4,5,900,o|grA}tkdR{Cn@oAPq@n@wBrEqArCeAfDeBkAm@YsFe@wFm@oA?
4,9,9,5,6,210,mdirAufkdRi@AqAW}DCq@W
4,9,9,6,7,3300,yoirAkhkdRqASiDgBiBmAgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
4,9,140,7,3,500,{gnrAe|kdR
4,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
4,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
4,140,9,10,10,500,oinrAk{kdR
4,9,9,10,11,3400,uinrA}{kdRHHvCcGtD_HnDsGpBgDjCkF`AmBdH~B|@\pEdAbEhAbEbA`F~@tHfBjG~A~HfCvHpCtAp@hIvEhFhDbCfAhInDfFfCvCjBrAx@r@Jr@V
4,9,9,11,12,150,_pirA{hkdRv@ZzEH
4,9,9,12,13,1000,kgirAugkdRp@PnAAbHr@|Ff@~BxA~@cDb@cAnDgHv@m@`BWxB[
4,9,9,13,14,550,_}grAaukdRdB_@~Ba@~IcCvCe@bA]tC{@
4,9,9,14,15,160,g_grAg_ldRfEqA~@]
4,9,9,15,16,2500,_wfrAwbldRbH_CxGwBlFqAdBa@|Dw@pCaAbIeB~NeDj@UfCwB|BkBjD}CxEoGdCiDfA_AfF_ExB_BxAg@vF}@NnE
5,75,75,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
5,75,75,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
5,75,75,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
5,75,75,4,5,3500,kdirAufkdRoIc@aDy@aFaDgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
5,75,2,5,1,500,{gnrAe|kdR
5,2,2,1,2,8000,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
5,2,2,5,6,8700,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
5,2,75,6,16,500,oinrAk{kdR
5,75,75,16,17,3500,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@t@V|EL
5,75,75,17,18,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
5,75,75,18,19,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
5,75,75,19,20,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
6,75,75,1,2,1500,yfirAkzfdRQAAkBCmB@sC@aCAsCH_BHoBnA{CbC_FOyEk@kDEuAiEkJGiAH}BX}EVaBME
6,75,75,2,3,550,mgirAskidRJDZyAVmAx@wBnDuJFYIYu@o@C]j@gAP[AA
6,75,75,3,4,950,c~hrAkgjdRBBl@aAFSxAeCt@sAtA}BrCgFdAcDoA{@eAi@iF_@_Gm@cA?
6,75,75,4,5,3500,kdirAufkdRoIc@aDy@aFaDgIgEyGgCiGuD_HeEuE{BgHmCkIcCeMcDyH{A{HmB}F}AsH{Bs@Q{ClFmC|E}CdGuC~EyDlHKb@
6,75,140,5,3,500,{gnrAe|kdR
6,140,140,3,4,7400,{gnrAe|kdRsIfOyFlKwDhGqGbKuD|F_FbIiAdDIx@l@pBfA`DbClK`CdOtDvSzAzJtAjJlBnN|CjQhBpIv@`DzD|IbHlN~EjJ~InQjJrRbFtI~HpOrGtMlHxNzGjMtClG~FzKLR
6,140,140,9,10,7400,kpkrAmc`dRkKiSyGeMoJ{QoKmTsDcHgLsT{EsJcE}HgFeKwHeOuBiEyCqImBmHgCaP{C}PkB{KiB{L}@cFuAiJyBmM_C{LC{@eBoCWu@OmCzBqDjCoE|AgCfBsCjBmClDqFjCiE~DyGvD_HpEmIvBsD
6,140,75,10,16,500,oinrAk{kdR
6,75,75,16,17,3500,oinrAk{kdRhCiFdCwEtCiFpCcFxCsFnByDhBn@pFbBxEjAbEhAxIpBzDt@`JzBxF`BnDlA`ErAzG~CdJnFzCjBtHdD~JxEvExCbBd@t@V|EL
6,75,75,17,18,1000,kgirAugkdR`ARbAGxNrAh@NjC`BgAjDqDnGiDxFq@hA
6,75,75,18,19,550,m|hrAiijdRgBzC?b@z@r@Bh@}EjMq@vC
6,75,75,19,20,1500,efirAgmidRYbAYpBSnFGtBNt@dA`Ch@x@pA|CDrAJ~@^tBHzEaEzIMz@EtAKn@?`GNhL
7,21,21,1,2,5900,qfzqA}`rdRKFrArBn@v@FfAqEbCaFjCoH|DaGbDuB`CcDvBqZ|DkNvB}[dRmKzFg`@`KaKrBsMxLcQzH_IvDgLjE}DxBuJxG_Br@sAk@wHeEyG}DcEX_I\@`C
7,21,21,2,3,2600,a~brA{~mdROaCuCJuG~@iAb@iD`CeF|DmGpImBfCuGtFcDlC{FvA{NbDoFzAoDv@{IrBeErAaK|C
