Line,ID,Name,Lat,Lon,Trip
21,26,Maxvalue ประชาอุทิศ,13.6397225,100.5005243,back
21,27,อวท.,13.6384005,100.5010806,back
21,28,วัดทุ่งครุ,13.6199223,100.5103251,back
21,29,วัดคู่สร้าง,13.57433,100.53151,back
140,1,BTSอนุเสาวรีย์ชัยสมรภูมิ,13.7613684,100.5356082,go
140,2,ฺBTSพญาไท,13.7576319,100.5326178,go
140,3,ตลาดบางปะกอก,13.6769382,100.5000253,go
140,4,เซ็นทรัลพระราม 2,13.662531,100.4400514,go
140,5,เคหะธน,13.6484425,100.4185137,go
140,6,แสมดำ,13.6217806,100.3852205,go
140,7,แสมดำ,13.6217806,100.3852205,back
140,8,เคหะธน,13.6484425,100.4185137,back
140,9,เซ็นทรัลพระราม 2,13.6629443,100.4397463,back
140,10,ตลาดบางปะกอก,13.6771997,100.4999026,back
